Broker,Minimum Commission Fees,"Trading fee (under $50,000)","Trading fee ($50,001-$100,000)","Trading fee above $100,000"
CGS-CIMB Securities,25 ,0.28%,0.22%,0.18%
Citibank Brokerage,28 ,0.25%,0.20%,0.18%
DBS Vickers,25 ,0.28%,0.22%,0.18%
FSMOne,10 ,0.12%,0.12%,0.12%
KGI Securities,25 ,0.28%,0.22%,0.18%
LIM & TAN Securities,23.75 ,0.27%,0.21%,0.17%
Maybank Kim Eng,25 ,0.28%,0.22%,0.18%
OCBC Securities,25 ,0.28%,0.22%,0.18%
Phillip Securities (POEMS),25 ,0.28%,0.22%,0.18%
RHB Securities,25 ,0.28%,0.22%,0.18%
UOB Kay Hian,25 ,0.28%,0.22%,0.20%
SAXO Capital Markets,15 ,0.12%,0.12%,0.12%
Standard Chartered,10 ,0.20%,0.20%,0.20%
